data_type,n,algo,mean_time_ns,mean_char_cmp,runs
almost,2000,quick_std,530296.000,299075.000,10
almost,2000,string_quick3,174108.200,45554.800,10
almost,2100,merge_lcp,1575491.600,9150.200,10
almost,2100,merge_std,1471066.700,25441.300,10
almost,2100,msd_plain,616904.400,10162.800,10
almost,2100,msd_switch,336041.900,28502.300,10
almost,2100,quick_std,561195.800,314874.600,10
almost,2100,string_quick3,183904.100,49598.500,10
almost,2200,merge_lcp,1656687.500,9609.700,10
almost,2200,merge_std,1558962.400,27039.400,10
almost,2200,msd_plain,627658.400,10657.600,10
almost,2200,msd_switch,343199.900,29782.500,10
almost,2200,quick_std,590387.500,329511.300,10
almost,2200,string_quick3,184246.000,52694.100,10
almost,2300,merge_lcp,1712516.700,10102.400,10
almost,2300,merge_std,1625683.500,28577.800,10
almost,2300,msd_plain,671558.400,11137.200,10
almost,2300,msd_switch,369479.000,31128.300,10
almost,2300,quick_std,623729.200,346575.400,10
almost,2300,string_quick3,195645.700,52947.100,10
almost,2400,merge_lcp,1779954.300,10578.300,10
almost,2400,merge_std,1721054.200,30220.000,10
almost,2400,msd_plain,693691.600,11627.600,10
almost,2400,msd_switch,378508.300,32378.100,10
almost,2400,quick_std,643095.500,364992.200,10
almost,2400,string_quick3,201766.500,55834.200,10
almost,2500,merge_lcp,1931108.500,11056.500,10
almost,2500,merge_std,1814495.600,31629.100,10
almost,2500,msd_plain,731262.500,12113.600,10
almost,2500,msd_switch,395475.100,33748.300,10
almost,2500,quick_std,670183.200,380690.500,10
almost,2500,string_quick3,245820.800,59172.200,10
almost,2600,merge_lcp,1942708.200,11519.000,10
almost,2600,merge_std,1895200.000,33024.100,10
almost,2600,msd_plain,757721.000,12601.200,10
almost,2600,msd_switch,417116.500,35119.300,10
almost,2600,quick_std,702845.900,396358.600,10
almost,2600,string_quick3,218304.200,59923.200,10
almost,2700,merge_lcp,2020575.000,11968.600,10
almost,2700,merge_std,1965033.500,34281.100,10
almost,2700,msd_plain,780133.300,13082.200,10
almost,2700,msd_switch,429354.300,36355.800,10
almost,2700,quick_std,736250.200,412002.800,10
almost,2700,string_quick3,224874.900,61951.300,10
almost,2800,merge_lcp,2089791.800,12482.800,10
almost,2800,merge_std,2061908.400,35667.500,10
almost,2800,msd_plain,813920.900,13571.400,10
almost,2800,msd_switch,442587.300,37709.000,10
almost,2800,quick_std,762854.200,431783.200,10
almost,2800,string_quick3,229995.800,65181.900,10
almost,2900,merge_lcp,2166220.900,12994.000,10
almost,2900,merge_std,2137895.900,37200.600,10
almost,2900,msd_plain,864304.400,14067.200,10
almost,2900,msd_switch,456058.300,39057.300,10
almost,2900,quick_std,781237.400,435918.100,10
almost,2900,string_quick3,239291.600,65594.000,10
almost,3000,merge_lcp,2216104.200,13517.500,10
almost,3000,merge_std,2179183.600,38179.500,10
almost,3000,msd_plain,888424.800,14554.200,10
almost,3000,msd_switch,482499.900,40583.900,10
almost,3000,quick_std,687262.500,447550.100,10
almost,3000,string_quick3,245600.000,68541.400,10
random,100,merge_lcp,59095.900,516.600,10
random,100,merge_std,59337.500,604.400,10
random,100,msd_plain,23233.100,350.600,10
random,100,msd_switch,13145.800,374.200,10
random,100,quick_std,30283.200,14941.500,10
random,100,string_quick3,7758.100,1110.100,10
random,200,merge_lcp,129254.000,1182.500,10
random,200,merge_std,126962.600,1492.100,10
random,200,msd_plain,48154.100,783.800,10
random,200,msd_switch,26312.400,922.200,10
random,200,quick_std,61925.100,29598.300,10
random,200,string_quick3,16712.300,2463.800,10
random,300,merge_lcp,212595.800,1926.800,10
random,300,merge_std,202074.800,2521.500,10
random,300,msd_plain,74787.400,1221.600,10
random,300,msd_switch,40554.300,1602.600,10
random,300,quick_std,91816.600,44349.100,10
random,300,string_quick3,26979.300,3989.700,10
random,400,merge_lcp,303458.400,2700.000,10
random,400,merge_std,279733.400,3649.900,10
random,400,msd_plain,99404.200,1649.400,10
random,400,msd_switch,59366.700,2326.600,10
random,400,quick_std,128300.100,60502.500,10
random,400,string_quick3,36562.600,5686.500,10
random,500,merge_lcp,372399.900,3490.200,10
random,500,merge_std,358383.300,4840.800,10
random,500,msd_plain,127687.700,2076.600,10
random,500,msd_switch,74720.700,3140.700,10
random,500,quick_std,159012.200,75378.900,10
random,500,string_quick3,47020.700,7627.500,10
random,600,merge_lcp,466345.600,4378.700,10
random,600,merge_std,450641.800,6113.300,10
random,600,msd_plain,149450.000,2517.800,10
random,600,msd_switch,87962.400,4011.200,10
random,600,quick_std,191566.500,90531.500,10
random,600,string_quick3,57916.800,9216.400,10
random,700,merge_lcp,536050.100,5217.000,10
random,700,merge_std,525612.400,7414.200,10
random,700,msd_plain,188678.900,2965.600,10
random,700,msd_switch,110458.200,4939.500,10
random,700,quick_std,237899.900,106212.100,10
random,700,string_quick3,68091.700,11604.800,10
random,800,merge_lcp,640754.300,6093.900,10
random,800,merge_std,605154.100,8781.200,10
random,800,msd_plain,202049.900,3414.800,10
random,800,msd_switch,122529.300,5846.400,10
random,800,quick_std,289808.300,123036.200,10
random,800,string_quick3,80596.000,12523.600,10
random,900,merge_lcp,723245.900,7005.200,10
random,900,merge_std,681591.400,10163.400,10
random,900,msd_plain,228979.200,3867.800,10
random,900,msd_switch,139516.800,6783.700,10
random,900,quick_std,291662.600,138171.900,10
random,900,string_quick3,90341.600,14270.900,10
random,1000,merge_lcp,801400.000,7868.100,10
random,1000,merge_std,781212.400,11568.500,10
random,1000,msd_plain,253062.500,4322.400,10
random,1000,msd_switch,154162.400,7764.400,10
random,1000,quick_std,328512.500,154362.100,10
random,1000,string_quick3,101775.200,16579.100,10
random,1100,merge_lcp,922204.000,8963.100,10
random,1100,merge_std,848458.400,13035.700,10
random,1100,msd_plain,282150.100,4792.400,10
random,1100,msd_switch,172208.300,8845.900,10
random,1100,quick_std,360562.700,169288.700,10
random,1100,string_quick3,111970.900,18757.700,10
random,1200,merge_lcp,986491.800,9929.300,10
random,1200,merge_std,964741.600,14531.100,10
random,1200,msd_plain,307275.000,5271.200,10
random,1200,msd_switch,187570.800,9887.400,10
random,1200,quick_std,396979.200,184325.800,10
random,1200,string_quick3,123100.000,21046.100,10
random,1300,merge_lcp,1088058.300,10866.700,10
random,1300,merge_std,1039316.600,16043.800,10
random,1300,msd_plain,339387.600,5747.800,10
random,1300,msd_switch,205358.400,10964.100,10
random,1300,quick_std,429454.200,200402.800,10
random,1300,string_quick3,137916.700,22212.000,10
random,1400,merge_lcp,1159858.300,11752.400,10
random,1400,merge_std,1154858.600,17569.200,10
random,1400,msd_plain,364942.000,6236.200,10
random,1400,msd_switch,225579.000,12122.000,10
random,1400,quick_std,469266.500,217017.000,10
random,1400,string_quick3,146912.400,24359.200,10
random,1500,merge_lcp,1251662.500,12694.900,10
random,1500,merge_std,1231787.600,19136.000,10
random,1500,msd_plain,397541.800,6722.800,10
random,1500,msd_switch,247896.000,13192.900,10
random,1500,quick_std,497212.300,235156.700,10
random,1500,string_quick3,159495.800,27112.700,10
random,1600,merge_lcp,1361295.900,13675.800,10
random,1600,merge_std,1309341.600,20707.000,10
random,1600,msd_plain,419308.200,7212.400,10
random,1600,msd_switch,261212.300,14309.200,10
random,1600,quick_std,533120.800,248431.000,10
random,1600,string_quick3,174179.100,28096.500,10
random,1700,merge_lcp,1430608.300,14654.000,10
random,1700,merge_std,1411783.200,22300.100,10
random,1700,msd_plain,451908.200,7703.000,10
random,1700,msd_switch,273333.400,15534.800,10
random,1700,quick_std,578787.500,265496.100,10
random,1700,string_quick3,186146.000,30545.100,10
random,1800,merge_lcp,1539012.400,15626.900,10
random,1800,merge_std,1508687.500,23907.400,10
random,1800,msd_plain,485679.200,8207.000,10
random,1800,msd_switch,291925.200,16734.400,10
random,1800,quick_std,609295.900,281451.000,10
random,1800,string_quick3,210112.500,32540.300,10
random,1900,merge_lcp,1624171.100,16569.700,10
random,1900,merge_std,1608295.700,25535.800,10
random,1900,msd_plain,513104.300,8707.000,10
random,1900,msd_switch,311079.000,17958.800,10
random,1900,quick_std,640499.900,296281.400,10
random,1900,string_quick3,206500.100,34109.000,10
random,2000,merge_lcp,1716908.300,17560.400,10
random,2000,merge_std,1682775.200,27152.500,10
random,2000,msd_plain,546670.900,9219.600,10
