run,data_type,n,algo,time_ns,char_cmp
1,random,900,msd_plain,231541,3922
1,random,900,msd_switch,138625,6887
1,reverse,900,quick_std,180666,116076
1,reverse,900,merge_std,615584,6959
1,reverse,900,merge_lcp,646500,3354
1,reverse,900,string_quick3,56333,15415
1,reverse,900,msd_plain,257750,4344
1,reverse,900,msd_switch,139042,9110
1,almost,900,quick_std,237875,132517
1,almost,900,merge_std,561458,10013
1,almost,900,merge_lcp,579000,3728
1,almost,900,string_quick3,68167,17749
1,almost,900,msd_plain,250584,4226
1,almost,900,msd_switch,140041,12155
1,random,1000,quick_std,350375,156073
1,random,1000,merge_std,827750,11543
1,random,1000,merge_lcp,778958,7916
1,random,1000,string_quick3,105208,17509
1,random,1000,msd_plain,252583,4352
1,random,1000,msd_switch,154458,7745
1,reverse,1000,quick_std,181000,116999
1,reverse,1000,merge_std,691500,7938
1,reverse,1000,merge_lcp,782792,3747
1,reverse,1000,string_quick3,62667,17251
1,reverse,1000,msd_plain,285875,4818
1,reverse,1000,msd_switch,156875,10120
1,almost,1000,quick_std,266500,151066
1,almost,1000,merge_std,619000,10996
1,almost,1000,merge_lcp,662833,4119
1,almost,1000,string_quick3,71917,17622
1,almost,1000,msd_plain,277584,4704
1,almost,1000,msd_switch,156167,13606
1,random,1100,quick_std,361667,171820
1,random,1100,merge_std,900875,12984
1,random,1100,merge_lcp,904125,8953
1,random,1100,string_quick3,111250,17908
1,random,1100,msd_plain,274792,4798
1,random,1100,msd_switch,170875,8936
1,reverse,1100,quick_std,209167,136817
1,reverse,1100,merge_std,749041,8725
1,reverse,1100,merge_lcp,862292,4112
1,reverse,1100,string_quick3,70833,18975
1,reverse,1100,msd_plain,315459,5310
1,reverse,1100,msd_switch,169667,11102
1,almost,1100,quick_std,281834,161417
1,almost,1100,merge_std,775875,12513
1,almost,1100,merge_lcp,765958,4699
1,almost,1100,string_quick3,78750,18786
1,almost,1100,msd_plain,305875,5194
1,almost,1100,msd_switch,173334,14810
1,random,1200,quick_std,403917,180766
1,random,1200,merge_std,977458,14514
1,random,1200,merge_lcp,983542,9961
1,random,1200,string_quick3,122916,19205
1,random,1200,msd_plain,306375,5276
1,random,1200,msd_switch,185583,10112
1,reverse,1200,quick_std,242625,161727
1,reverse,1200,merge_std,931833,9362
1,reverse,1200,merge_lcp,895042,4506
1,reverse,1200,string_quick3,76167,20959
1,reverse,1200,msd_plain,338791,5778
1,reverse,1200,msd_switch,180959,12144
1,almost,1200,quick_std,309750,179565
1,almost,1200,merge_std,779334,14095
1,almost,1200,merge_lcp,812500,5140
1,almost,1200,string_quick3,83292,19649
1,almost,1200,msd_plain,335416,5684
1,almost,1200,msd_switch,187166,16128
1,random,1300,quick_std,427167,201419
1,random,1300,merge_std,1010709,15990
1,random,1300,merge_lcp,1065250,10895
1,random,1300,string_quick3,135917,21330
1,random,1300,msd_plain,339917,5734
1,random,1300,msd_switch,204834,10824
1,reverse,1300,quick_std,272500,177273
1,reverse,1300,merge_std,957792,10350
1,reverse,1300,merge_lcp,985708,4896
1,reverse,1300,string_quick3,84916,23449
1,reverse,1300,msd_plain,370334,6256
1,reverse,1300,msd_switch,197542,13165
1,almost,1300,quick_std,366250,196219
1,almost,1300,merge_std,917250,15616
1,almost,1300,merge_lcp,990292,5598
1,almost,1300,string_quick3,124958,23094
1,almost,1300,msd_plain,363709,6190
1,almost,1300,msd_switch,210542,17337
1,random,1400,quick_std,451416,211973
1,random,1400,merge_std,1129042,17523
1,random,1400,merge_lcp,1147000,11773
1,random,1400,string_quick3,144083,23764
1,random,1400,msd_plain,360500,6224
1,random,1400,msd_switch,221000,12049
1,reverse,1400,quick_std,307125,199605
1,reverse,1400,merge_std,1012875,11173
1,reverse,1400,merge_lcp,1079292,5293
1,reverse,1400,string_quick3,91417,24964
1,reverse,1400,msd_plain,394833,6758
1,reverse,1400,msd_switch,214875,14203
1,almost,1400,quick_std,375875,212168
1,almost,1400,merge_std,950958,16849
1,almost,1400,merge_lcp,971167,6042
1,almost,1400,string_quick3,104791,24523
1,almost,1400,msd_plain,409917,6680
1,almost,1400,msd_switch,232709,18462
1,random,1500,quick_std,495750,235929
1,random,1500,merge_std,1245208,19096
1,random,1500,merge_lcp,1236334,12715
1,random,1500,string_quick3,163166,28491
1,random,1500,msd_plain,409459,6740
1,random,1500,msd_switch,235000,13465
1,reverse,1500,quick_std,340750,222332
1,reverse,1500,merge_std,1071542,12053
1,reverse,1500,merge_lcp,1163292,5688
1,reverse,1500,string_quick3,98500,26810
1,reverse,1500,msd_plain,421583,7222
1,reverse,1500,msd_switch,228583,15273
1,almost,1500,quick_std,394166,223180
1,almost,1500,merge_std,1011667,18080
1,almost,1500,merge_lcp,1061375,6475
1,almost,1500,string_quick3,113875,27706
1,almost,1500,msd_plain,429625,7154
1,almost,1500,msd_switch,233083,19792
1,random,1600,quick_std,525292,241863
1,random,1600,merge_std,1283708,20675
1,random,1600,merge_lcp,1392542,13704
1,random,1600,string_quick3,180375,30119
1,random,1600,msd_plain,417000,7238
1,random,1600,msd_switch,252209,14286
1,reverse,1600,quick_std,355250,234915
1,reverse,1600,merge_std,1122500,12967
1,reverse,1600,merge_lcp,1196708,6085
1,reverse,1600,string_quick3,104416,28825
1,reverse,1600,msd_plain,453042,7712
1,reverse,1600,msd_switch,246125,16276
1,almost,1600,quick_std,411000,231069
1,almost,1600,merge_std,1072791,19573
1,almost,1600,merge_lcp,1194875,7015
1,almost,1600,string_quick3,127292,32077
1,almost,1600,msd_plain,467917,7620
1,almost,1600,msd_switch,248709,21037
1,random,1700,quick_std,629375,263337
1,random,1700,merge_std,1409958,22257
1,random,1700,merge_lcp,1405542,14678
1,random,1700,string_quick3,183292,29550
1,random,1700,msd_plain,443959,7742
1,random,1700,msd_switch,269584,15708
1,reverse,1700,quick_std,357292,232510
1,reverse,1700,merge_std,1199000,13840
1,reverse,1700,merge_lcp,1274125,6485
1,reverse,1700,string_quick3,114917,31753
1,reverse,1700,msd_plain,474250,8184
1,reverse,1700,msd_switch,257334,17369
1,almost,1700,quick_std,453625,259441
1,almost,1700,merge_std,1259417,20939
1,almost,1700,merge_lcp,1204958,7555
1,almost,1700,string_quick3,135959,34011
1,almost,1700,msd_plain,478083,8136
1,almost,1700,msd_switch,264292,22198
1,random,1800,quick_std,602417,284662
1,random,1800,merge_std,1506291,23901
1,random,1800,merge_lcp,1513958,15631
1,random,1800,string_quick3,195917,32628
1,random,1800,msd_plain,477500,8260
1,random,1800,msd_switch,288042,16749
1,reverse,1800,quick_std,363042,233900
1,reverse,1800,merge_std,1323584,14852
1,reverse,1800,merge_lcp,1367500,6846
1,reverse,1800,string_quick3,122167,33493
1,reverse,1800,msd_plain,501209,8660
1,reverse,1800,msd_switch,274291,18352
1,almost,1800,quick_std,485792,274139
1,almost,1800,merge_std,1228000,21971
1,almost,1800,merge_lcp,1267833,8071
1,almost,1800,string_quick3,142542,36692
1,almost,1800,msd_plain,510542,8632
1,almost,1800,msd_switch,357541,23925
1,random,1900,quick_std,637500,297812
1,random,1900,merge_std,1565375,25557
1,random,1900,merge_lcp,1604625,16576
1,random,1900,string_quick3,209167,32620
1,random,1900,msd_plain,541084,8766
1,random,1900,msd_switch,310750,18080
1,reverse,1900,quick_std,368458,242891
1,reverse,1900,merge_std,1345209,15848
1,reverse,1900,merge_lcp,1495292,7209
1,reverse,1900,string_quick3,126667,35553
1,reverse,1900,msd_plain,545125,9132
1,reverse,1900,msd_switch,290209,19314
1,almost,1900,quick_std,507917,291479
1,almost,1900,merge_std,1378333,23201
1,almost,1900,merge_lcp,1329500,8488
1,almost,1900,string_quick3,152750,43373
1,almost,1900,msd_plain,546500,9160
1,almost,1900,msd_switch,298791,25175
1,random,2000,quick_std,756125,314947
1,random,2000,merge_std,1609542,27188
1,random,2000,merge_lcp,1715292,17603
1,random,2000,string_quick3,218500,33848
1,random,2000,msd_plain,541917,9278
1,random,2000,msd_switch,325375,19422
1,reverse,2000,quick_std,367584,241357
1,reverse,2000,merge_std,1425208,16971
1,reverse,2000,merge_lcp,1521000,7610
1,reverse,2000,string_quick3,138250,38999
1,reverse,2000,msd_plain,555750,9636
1,reverse,2000,msd_switch,304417,20430
